country,ISO Country code,population,surface area (Km2),,GINI index,happy planet index,human development index,world happiness report score,sustainable economic development assessment (SEDA),,"GDP (billions PPP)",GDP per capita (PPP),"GDP growth (annual %)","health expenditure % of GDP","health expenditure per person","education expenditure % of GDP","education expenditure per person ",school life expectancy (YEARS),unemployment (%),government spending score,government expenditure (% of GDP),,political rights score ,civil liberties score ,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,property rights score,tax burden score,overall economic freedom score,financial freedom score,women MPs (% of all MPs)
Afghanistan,AFG,"36,000,000","652,230",,-,20.2,0.498,2.66,-,,64.1,"1,919",1.5,10.3,184,3.8,24,11,8.5,79.3,26.30,,5,6,-2.78,-1.3,-1.3,-1.570,-1.52,28.20,26.20,17.90,91.80,51.30,10.00,27.7
Albania,ALB,"2,900,000","27,398",,29.0,36.8,0.785,4.64,53.10,,34.2,"11,840",2.6,6.8,774,-,-,16,16.3,72.7,30.10,,3,3,0.4,0.1,0.2,-0.400,-0.42,25.40,39.90,54.10,85.10,64.50,70.00,27.9
Algeria,DZA,"41,000,000","2,381,740",,35.3,33.3,0.754,5.25,45.80,,612.5,"15,027",3.7,7.1,"1,031",-,-,14,11.2,45.9,42.50,,6,5,-0.96,-0.6,-1.2,-0.860,-0.61,35.20,29.00,27.80,74.00,44.70,30.00,25.8
Andorra,AND,"77,000",468,,-,-,0.858,-,-,,-,-,-,12.0,"5,949",3.0,-,-,-,-,-,,1,1,1.45,1.9,1.2,1.600,1.24,-,-,-,-,-,-,32.1
Angola,AGO,"30,000,000","1,246,700",,42.7,-,0.581,-,28.40,,187.3,"6,844",3,2.9,196,-,-,10,6.6,69.1,32.10,,6,6,-0.29,-1.0,-1.0,-1.100,-1.41,25.40,18.90,36.00,82.40,48.60,40.00,38.2
Antigua & Barbuda,ATG,"102,000",443,,-,-,0.780,-,-,,-,-,-,4.8,"1,105",-,-,14,-,-,-,,2,2,0.76,0.0,0.3,0.440,0.24,-,-,-,-,-,-,11.1
Argentina,ARG,"44,000,000","2,736,690",,41.7,35.2,0.825,6.04,57.30,,874.1,"20,048",1.2,2.9,"1,390",5.4,657,17,6.6,55.6,38.50,,2,2,0.18,0.2,-0.3,-0.250,-0.26,44.50,32.60,40.80,65.70,52.30,60.00,38.9
Armenia,ARM,"3,000,000","28,203",,31.5,25.7,0.755,4.29,51.70,,25.8,"8,621",3,10.1,883,2.2,90,13,16.8,80,25.80,,5,4,-0.71,-0.1,0.3,-0.160,-0.56,47.40,40.50,55.30,84.70,68.70,70.00,18.1
Australia,AUS,"25,000,000","7,682,300",,30.3,21.2,0.939,7.26,78.90,,1187.3,"48,899",2.5,9.4,"4,492",5.2,"3,236",20,5.7,61.2,36.00,,1,1,0.9,1.5,1.9,1.680,1.80,93.40,77.40,78.70,63.00,80.90,90.00,28.7
Austria,AUT,"9,000,000","82,445",,30.5,30.5,0.908,7.29,80.30,,417.2,"48,005",0.9,10.3,"5,138",5.4,"2,817",16,6.1,19.4,51.80,,1,1,1.04,1.5,1.4,1.810,1.53,80.90,73.50,83.50,49.90,71.80,70.00,30.6
Azerbaijan,AZE,"10,000,000","82,629",,33.7,-,0.757,5.15,51.1,,165.5,"17,439",1.1,6.7,"1,191",2.6,208,13,5.1,59.4,36.80,,7,6,-0.76,-0.2,-0.3,-0.560,-0.88,36.80,39.90,53.60,87.50,64.30,60.00,16.8
Bahamas,BHS,"400,000","10,010",,-,-,0.807,-,60.40,,9.0,"24,555",0.5,7.4,"1,699",-,-,-,15.3,82.9,23.80,,1,1,1,0.6,0.1,0.190,1.17,53.50,50.90,46.50,96.50,63.30,60.00,12.8
Bahrain,BHR,"1,300,000",760,,-,-,0.846,6.23,63.90,,66.9,"50,704",3.2,5.2,"2,453",2.5,616,-,1.3,66.4,33.40,,7,6,-0.95,0.2,0.4,0.450,-0.14,55.10,51.80,62.10,99.90,67.70,80.00,7.5
Bangladesh,BGD,"165,000,000","130,170",,32.1,38.4,0.608,4.31,35.30,,628.4,"3,891",6.4,2.6,88,-,-,10,4.1,94.2,13.90,,4,4,-1.25,-0.7,-0.8,-0.670,-0.83,32.60,21.20,32.40,72.70,55.10,30.00,20.3
