name,index year,overall score,property rights,government integrity,judicial effectiveness,tax burden,government spending,fiscal health,business freedom,labor freedom,monetary freedom,trade freedom,investment freedom,financial freedom,HDI Rank (2017),Country,year,hdi_value,iso3c,date,iso2c,NY.GDP.PCAP.PP.CD,NY.GNP.PCAP.KD.ZG,NY.GNP.PCAP.PP.CD,SI.POV.GINI,SP.POP.TOTL,country,hdi,efree,population,gni_per_cap,gni_per_cap_percent,gdp,gini,gdp_z,gini_z,hdi_z,efree_z,gni_z,gdp_01,hdi_01,efree_01,gini_01,gdp_log01,gni_01,first_gini_year,last_gini_year,years_of_gini,first_gini_value,last_gini_value,gini_change,gini_change_by_year,avg_gini,gini_category,first_efree_year,last_efree_year,years_of_efree,first_efree_value,last_efree_value,efree_change,efree_change_by_year,avg_efree
Afghanistan,2017,48.9,12.6,27.5,28.4,91.6,79.9,97.3,54.2,59.9,69.3,66,0,0,168,Afghanistan,2017,0.498,AFG,2017,AF,1980.51617731097,NA,2000,NA,35530081,Afghanistan,0.498,48.9,35530081,2000,NA,1980.51617731097,NA,-0.7812536341522827,NA,-0.9272493842726671,-1.0312213753888004,-0.7683803654870301,0.016428005713210465,0.3509272467902996,0.45121951219512185,NA,0.2789244513255094,0.017417350787663634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algeria,2017,46.5,38.2,31.7,29.6,81.1,51,19.8,62.1,49.5,67,63.3,35,30,85,Algeria,2017,0.754,DZA,2017,DZ,15275.3742169614,NA,15050,NA,41318142,Algeria,0.754,46.5,41318142,15050,NA,15275.3742169614,NA,0.061297200360904816,NA,0.5316546405599236,-1.2646753801483814,0.05540975415124515,0.15867944030529801,0.7161198288159772,0.4186991869918698,NA,0.6606556083949018,0.16219214555136455,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2017,17,56.8,46.5,-10.299999999999997,-0.6058823529411763,54.12222222222222
Angola,2017,48.5,36.4,12.8,19.8,87.7,58.6,70.7,58.5,40.4,70.6,56.7,30,40,147,Angola,2017,0.581,AGO,2017,AO,6388.96002177353,-2.79023823832834,6060,NA,29784193,Angola,0.581,48.5,29784193,6060,-2.79023823832834,6388.96002177353,NA,-0.5018720846104331,NA,-0.45424534497147584,-1.070130376182064,-0.5120901060440112,0.06359717888701787,0.4693295292439372,0.4457994579945799,NA,0.49777621472054095,0.0624583980474817,2000,2008,8,52,42.7,-9.299999999999997,-1.1624999999999996,47.35,more equal,2000,2017,17,24.3,48.5,24.2,1.423529411764706,45.23076923076923
Argentina,2017,50.4,32.4,38.2,39.6,62.6,54.6,56.4,57.3,46.1,50.9,66.7,50,50,47,Argentina,2017,0.825,ARG,2017,AR,20786.6793277368,3.3783618175616,20270,NA,44271041,Argentina,0.825,50.4,44271041,20270,3.3783618175616,20786.6793277368,NA,0.41057168727093624,NA,0.9362725536970872,-0.8853126224140623,0.3849258020065553,0.2176489348380218,0.8174037089871612,0.47154471544715437,NA,0.7182212982857706,0.2201020634568449,2000,2016,16,51.1,42.4,-8.700000000000003,-0.5437500000000002,46.09375,more equal,2000,2017,17,70,50.4,-19.6,-1.1529411764705884,53.36666666666667
Australia,2017,81,81.7,74.8,92.9,63.2,59,84.6,89.3,84.1,86.4,86.2,80,90,3,Australia,2017,0.939,AUS,2017,AU,48460.04927536,-0.176411323909647,47160,NA,24598933,Australia,0.939,81,24598933,47160,-0.176411323909647,48460.04927536,NA,2.1643490404118317,NA,1.5859407522553501,2.0912259382705978,2.082375328219063,0.5137466113462299,0.9800285306704707,0.8861788617886178,NA,0.8763837880746534,0.518415797648103,2001,2010,9,33.5,34.7,1.2000000000000028,0.13333333333333364,34.275,less equal,2000,2017,17,77.1,81,3.9000000000000057,0.22941176470588268,80.41111111111111
Austria,2017,72.3,86,75.2,81.8,50.3,19.3,79.7,76.9,67.6,83.4,87,90,70,20,Austria,2017,0.908,AUT,2017,AT,52397.7543507726,NA,52500,NA,8809212,Austria,0.908,72.3,8809212,52500,NA,52397.7543507726,NA,2.4138979026457106,NA,1.4092765929982791,1.2449551710171158,2.419466457634265,0.5558790052617888,0.9358059914407989,0.7682926829268291,NA,0.8909819534791994,0.577656978034169,2003,2015,12,29.5,30.5,1,0.08333333333333333,30.26923076923077,less equal,2000,2017,17,68.4,72.3,3.8999999999999915,0.22941176470588184,70.35555555555555
Azerbaijan,2017,63.6,50.5,37.6,33,87.7,57.5,97.4,71.5,75,73.6,74.4,55,50,80,Azerbaijan,2017,0.757,AZE,2017,AZ,17398.1635635792,NA,16650,NA,9862429,Azerbaijan,0.757,63.6,9862429,16650,NA,17398.1635635792,NA,0.19582725176531682,NA,0.5487511721009305,0.39868440376363445,0.1564108416164743,0.1813927200554534,0.7203994293865906,0.6504065040650405,NA,0.6849701850108022,0.17994231195917462,2001,2005,4,36.5,16.6,-19.9,-4.975,21.1,more equal,2000,2017,17,49.8,63.6,13.800000000000004,0.8117647058823532,56.644444444444446
Bangladesh,2017,55,34.9,19.1,26,72.8,94,78.7,53.4,68.7,68.6,63.6,50,30,136,Bangladesh,2017,0.608,BGD,2017,BD,3868.8223032186,4.77308570945499,4040,NA,164669751,Bangladesh,0.608,55,164669751,4040,4.77308570945499,3868.8223032186,NA,-0.661583766489546,NA,-0.30037656110241345,-0.43785911329153154,-0.639603978968863,0.0366323775506739,0.5078459343794579,0.5338753387533874,NA,0.4040437978124254,0.04004881295762148,2000,2016,16,33.4,32.4,-1,-0.0625,32.775,more equal,2000,2017,17,48.9,55,6.100000000000001,0.35882352941176476,50.90555555555556
Belarus,2017,58.6,50.9,37.6,56.3,89.8,48.7,92.8,71.3,74.6,60.4,80.6,30,10,53,Belarus,2017,0.808,BLR,2017,BY,18847.9338872999,3.54076907500362,18140,NA,9507875,Belarus,0.808,58.6,9507875,18140,3.54076907500362,18847.9338872999,NA,0.2877052690002753,NA,0.8393922082980485,-0.08767810615215965,0.25046810431846894,0.19690487578989155,0.7931526390870187,0.5826558265582655,NA,0.699926117790152,0.19647215442644775,2000,2016,16,31.2,27,-4.199999999999999,-0.26249999999999996,28.129411764705882,more equal,2000,2017,17,41.3,58.6,17.300000000000004,1.0176470588235296,46.30555555555556
Belgium,2017,67.8,83.3,71.5,69.3,44.1,9.6,66.3,82,61.1,84.9,87,85,70,17,Belgium,2017,0.916,BEL,2017,BE,47840.1971355057,NA,48240,NA,11372068,Belgium,0.916,67.8,11372068,48240,NA,47840.1971355057,NA,2.125066414290406,NA,1.4548673437742976,0.807228912092901,2.1505510622580926,0.5071143587966895,0.9472182596291014,0.7073170731707316,NA,0.8739782596342107,0.5303971599733748,2003,2015,12,28.1,27.7,-0.40000000000000213,-0.03333333333333351,28.43076923076923,more equal,2000,2017,17,63.5,67.8,4.299999999999997,0.25294117647058806,69.0111111111111
